room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
Shared room,Hackney,Shacklewell,0,0,4,1,128,51.552269,-0.0711
Shared room,Brent,Brondesbury Park,11,3.5,12,1,49,51.545518,-0.210591
Shared room,Brent,Brondesbury Park,3,3.5,12,1,54,51.546369,-0.208591
Shared room,Lewisham,Brockley,14,4,6,1,58,51.473402,-0.028555
Shared room,Camden,St. Pancras and Somers Town,0,0,4,1,36,51.53157,-0.131913
Shared room,Southwark,Cathedrals,0,0,4,1,128,51.507303,-0.092709
Shared room,Newham,West Ham,0,0,2,1,121,51.535445,0.01345
Shared room,Greenwich,Woolwich Common,1,0,2,1,101,51.488409,0.067643
Shared room,Lambeth,St. Leonard's,0,0,2,1,76,51.427964,-0.128144
Shared room,Waltham Forest,Wood Street,0,0,2,1,70,51.586516,-0.004726
Shared room,Islington,Highbury East,34,4.5,2,1,75,51.552894,-0.095477
Shared room,Southwark,Riverside,4,4.5,3,1,66,51.502825,-0.080245
Shared room,Hackney,Hoxton East & Shoreditch,1,0,2,1,76,51.527036,-0.080001
Shared room,Southwark,Chaucer,2,0,2,1,76,51.496204,-0.087765
Shared room,Westminster,Hyde Park,91,4.5,2,1,71,51.515864,-0.174312
Shared room,Tower Hamlets,Blackwall & Cubitt Town,3,4.5,2,1,63,51.505243,-0.007769
Shared room,Westminster,Church Street,0,0,2,1,70,51.52379,-0.169911
Shared room,Southwark,Riverside,14,4.5,4,1,66,51.502941,-0.079681
Shared room,Barnet,Garden Suburb,0,0,2,1,64,51.570683,-0.188879
Shared room,Hammersmith and Fulham,Wormholt and White City,14,4.5,6,1,58,51.51167,-0.230372
Shared room,Hackney,Homerton,3,5,2,1,50,51.543972,-0.051433
Shared room,Hackney,Hackney Downs,0,0,4,1,50,51.556902,-0.063718
Shared room,Waltham Forest,Grove Green,4,4.5,2,1,41,51.559959,-0.004958
Shared room,Islington,Junction,5,5,2,1,54,51.564602,-0.130556
Shared room,Brent,Tokyngton,13,4,2,1,56,51.561687,-0.276411
Shared room,Camden,Bloomsbury,0,0,2,1,58,51.523404,-0.123626
Shared room,Bexley,Lesnes Abbey,1,0,2,1,41,51.491022,0.131057
Shared room,Merton,Figge's Marsh,0,0,3,1,34,51.407145,-0.150148
Shared room,Brent,Brondesbury Park,7,3,12,1,27,51.54621,-0.21029
Shared room,Brent,Brondesbury Park,8,3,12,1,33,51.546844,-0.208996
Shared room,Waltham Forest,Grove Green,3,3.5,2,1,34,51.559474,-0.003213
Shared room,Waltham Forest,Grove Green,1,0,3,1,39,51.559922,-0.005321
Shared room,Brent,Brondesbury Park,17,3.5,12,1,31,51.546649,-0.210591
Shared room,Waltham Forest,Grove Green,0,0,2,1,33,51.559928,-0.003325
Shared room,Waltham Forest,Grove Green,8,4.5,2,1,36,51.559963,-0.003046
Shared room,Hackney,Brownswood,0,0,9,1,39,51.561037,-0.097795
Shared room,City of London,City of London,1,0,2,1,350,51.511003,-0.077274
Shared room,Westminster,West End,0,0,2,1,345,51.50678,-0.145746
Shared room,Westminster,Knightsbridge and Belgravia,0,0,4,1,446,51.502233,-0.160395
Shared room,Kensington and Chelsea,Stanley,0,0,2,1,220,51.490849,-0.171207
Shared room,Richmond upon Thames,Twickenham Riverside,1,0,4,1,254,51.452537,-0.32231
Shared room,Brent,Wembley Central,1,0,1,1,300,51.555621,-0.299765
Shared room,Barnet,Mill Hill,0,0,1,1,216,51.622991,-0.251536
Shared room,Tower Hamlets,Lansbury,0,0,1,1,280,51.516471,-0.011584
Shared room,Kensington and Chelsea,Courtfield,0,0,4,1,204,51.491573,-0.176469
Shared room,Southwark,Cathedrals,0,0,1,1,192,51.505737,-0.103923
Shared room,Hammersmith and Fulham,Shepherd's Bush Green,0,0,2,1,204,51.508489,-0.233872
Shared room,Wandsworth,St. Mary's Park,0,0,1,1,192,51.472973,-0.175979
Shared room,Southwark,Grange,0,0,1,1,193,51.494177,-0.077036
Shared room,Waltham Forest,Hoe Street,0,0,2,1,160,51.584164,-0.010029
Shared room,Wandsworth,West Hill,1,0,1,1,161,51.447021,-0.21672
Shared room,Southwark,Rotherhithe,0,0,2,1,178,51.497756,-0.051258
Shared room,Kensington and Chelsea,Campden,0,0,2,1,160,51.508328,-0.193277
Shared room,Tower Hamlets,Canary Wharf,0,0,1,1,140,51.499592,-0.017287
Shared room,Camden,Regent's Park,1,0,2,1,140,51.526696,-0.145564
Shared room,Islington,Caledonian,1,0,1,1,133,51.533356,-0.122123
Shared room,Newham,West Ham,4,5,2,1,127,51.532813,0.007012
Shared room,Hackney,Hoxton East & Shoreditch,0,0,2,1,128,51.531868,-0.077703
Shared room,Islington,Barnsbury,1,0,4,1,138,51.533948,-0.107145
Shared room,Islington,Caledonian,0,0,2,1,140,51.537155,-0.117424
Shared room,Wandsworth,Northcote,1,0,2,1,128,51.4618,-0.166442
